epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2999.29,1.21011,0.85832,1.17623,0.95869,0.91994,0.95859,0.63574,1.21195,0.56481,1.11607,0.00332579,0.00332579,0.00332579
2,3210.64,1.22809,0.68769,1.1482,0.92392,0.86314,0.906,0.56401,1.26476,0.75374,1.19597,0.00663715,0.00663715,0.00663715
3,3420.41,1.28631,0.79294,1.19286,0.87899,0.83964,0.87426,0.5525,1.32668,1.14187,1.25069,0.00992651,0.00992651,0.00992651
4,3629.25,1.3116,0.82224,1.23854,0.87291,0.87062,0.88224,0.56414,1.29161,0.80307,1.24684,0.009901,0.009901,0.009901
5,3837.53,1.26107,0.76159,1.22495,0.94293,0.83235,0.9,0.58845,1.25925,0.75297,1.24568,0.009868,0.009868,0.009868
6,4045.78,1.25102,0.73426,1.22582,0.95115,0.8694,0.91653,0.61235,1.20454,0.69609,1.21726,0.009835,0.009835,0.009835
7,4254.11,1.23536,0.70172,1.23112,0.96323,0.89516,0.94093,0.63624,1.17964,0.6409,1.21651,0.009802,0.009802,0.009802
8,4462.41,1.2174,0.67953,1.22625,0.93916,0.88615,0.92649,0.61475,1.22152,0.67772,1.22901,0.009769,0.009769,0.009769
9,4670.72,1.20203,0.65451,1.2244,0.94793,0.89385,0.94289,0.63439,1.18704,0.62288,1.18014,0.009736,0.009736,0.009736
10,4879.18,1.18253,0.63611,1.21167,0.95564,0.90478,0.94135,0.63676,1.18037,0.58867,1.19362,0.009703,0.009703,0.009703
11,5087.35,1.18164,0.62609,1.21347,0.96857,0.89845,0.93887,0.65093,1.14587,0.56807,1.18766,0.00967,0.00967,0.00967
12,5297.46,1.17627,0.62328,1.21038,0.97546,0.91207,0.95246,0.65111,1.14806,0.57298,1.19221,0.009637,0.009637,0.009637
13,5507.77,1.1724,0.60851,1.21179,0.97875,0.89841,0.95073,0.65434,1.14807,0.55889,1.16837,0.009604,0.009604,0.009604
14,5717.86,1.16471,0.6039,1.21308,0.97032,0.92339,0.95426,0.65429,1.15357,0.54911,1.20856,0.009571,0.009571,0.009571
15,5928.08,1.1511,0.59314,1.19889,0.96437,0.8861,0.93247,0.62682,1.20314,0.59494,1.22256,0.009538,0.009538,0.009538
16,6136.14,1.14866,0.58896,1.20941,0.97662,0.92073,0.95795,0.6501,1.18707,0.53944,1.20561,0.009505,0.009505,0.009505
17,6344.65,1.14344,0.57632,1.20872,0.96928,0.91989,0.95969,0.66218,1.13912,0.53694,1.21865,0.009472,0.009472,0.009472
18,6555.6,1.1305,0.56335,1.20924,0.96573,0.92984,0.96086,0.65885,1.14429,0.51966,1.17774,0.009439,0.009439,0.009439
19,6764.37,1.1347,0.55186,1.19951,0.97625,0.91663,0.95704,0.66608,1.12455,0.50843,1.1875,0.009406,0.009406,0.009406
