epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.145,1.21633,0.90695,1.12994,0.96465,0.90706,0.95637,0.63223,1.21982,0.59469,1.1211,0.00332579,0.00332579,0.00332579
2,595.88,1.21929,0.69053,1.12075,0.91565,0.87426,0.90884,0.56301,1.25084,0.75196,1.18106,0.00663715,0.00663715,0.00663715
3,885.624,1.27751,0.7753,1.16943,0.85128,0.8656,0.86644,0.54364,1.29051,0.92965,1.25114,0.00992651,0.00992651,0.00992651
4,1175.01,1.29983,0.81584,1.19936,0.9069,0.85421,0.89289,0.57227,1.29102,0.83906,1.23192,0.009901,0.009901,0.009901
5,1463.91,1.26128,0.76099,1.19019,0.94701,0.86424,0.92373,0.60388,1.24876,0.7034,1.1949,0.009868,0.009868,0.009868
6,1752.3,1.25061,0.73212,1.17541,0.93923,0.88793,0.91719,0.60977,1.20294,0.65974,1.16623,0.009835,0.009835,0.009835
7,2036.28,1.22922,0.70886,1.16471,0.9571,0.88418,0.93143,0.62592,1.19801,0.62656,1.15825,0.009802,0.009802,0.009802
8,2321.53,1.21483,0.68636,1.15724,0.93247,0.86185,0.90944,0.58766,1.27567,0.68438,1.20189,0.009769,0.009769,0.009769
9,2607.81,1.20042,0.6652,1.14735,0.96708,0.90979,0.94952,0.63963,1.17548,0.58728,1.14017,0.009736,0.009736,0.009736
10,2899.38,1.18084,0.64372,1.14067,0.95475,0.90569,0.94687,0.64332,1.17299,0.57262,1.13744,0.009703,0.009703,0.009703
11,3192.47,1.17775,0.63147,1.13912,0.96732,0.9034,0.95012,0.65399,1.17349,0.55958,1.14582,0.00967,0.00967,0.00967
12,3482.21,1.17747,0.62621,1.13578,0.97414,0.91025,0.94717,0.64182,1.16867,0.55756,1.12944,0.009637,0.009637,0.009637
13,3767.87,1.17146,0.61484,1.13162,0.96787,0.91116,0.9535,0.65503,1.14156,0.55981,1.11682,0.009604,0.009604,0.009604
14,4053.77,1.15846,0.61111,1.13337,0.98525,0.92301,0.95719,0.66268,1.12078,0.53719,1.11712,0.009571,0.009571,0.009571
15,4340.03,1.14765,0.59236,1.1312,0.98254,0.92306,0.95866,0.66478,1.13061,0.51128,1.11,0.009538,0.009538,0.009538
16,4626.92,1.14629,0.5965,1.12628,0.97665,0.93384,0.96216,0.66694,1.12877,0.52077,1.12217,0.009505,0.009505,0.009505
17,4912.99,1.14258,0.58039,1.1262,0.982,0.91987,0.96059,0.66633,1.14573,0.52421,1.12492,0.009472,0.009472,0.009472
18,5197.13,1.1293,0.5708,1.11573,0.97655,0.91526,0.95855,0.66145,1.14199,0.51644,1.11542,0.009439,0.009439,0.009439
19,5480.77,1.12925,0.56979,1.11766,0.96998,0.92741,0.95728,0.66205,1.13795,0.51386,1.13168,0.009406,0.009406,0.009406
20,5763.05,1.11522,0.56017,1.10641,0.97972,0.92461,0.96388,0.67193,1.12112,0.50405,1.10807,0.009373,0.009373,0.009373
21,6046.42,1.12115,0.55838,1.1075,0.9798,0.92816,0.96629,0.67547,1.11907,0.49054,1.10669,0.00934,0.00934,0.00934
22,6333.4,1.11979,0.5502,1.11384,0.97559,0.92875,0.96526,0.67633,1.11412,0.48037,1.09566,0.009307,0.009307,0.009307
23,6618.28,1.11596,0.5453,1.10497,0.97479,0.93357,0.9673,0.68224,1.09811,0.47565,1.09091,0.009274,0.009274,0.009274
24,6903.81,1.11669,0.54449,1.1116,0.9813,0.9323,0.96445,0.68073,1.103,0.47849,1.09418,0.009241,0.009241,0.009241
25,7186.99,1.09601,0.54315,1.0966,0.9823,0.93075,0.96537,0.67406,1.11365,0.47475,1.08854,0.009208,0.009208,0.009208
26,7470.82,1.09762,0.53572,1.09478,0.98075,0.92839,0.96361,0.67201,1.12774,0.49228,1.0999,0.009175,0.009175,0.009175
27,7755.06,1.10642,0.53815,1.10063,0.97895,0.93895,0.97001,0.68814,1.09036,0.4629,1.08772,0.009142,0.009142,0.009142
28,8040.78,1.09221,0.53144,1.09573,0.97959,0.94032,0.96812,0.68393,1.10265,0.47154,1.07976,0.009109,0.009109,0.009109
29,8327.33,1.09829,0.52795,1.09318,0.98358,0.93759,0.97113,0.68309,1.1047,0.46171,1.08475,0.009076,0.009076,0.009076
30,8611.69,1.08328,0.52383,1.0833,0.97584,0.93485,0.96692,0.69144,1.09533,0.46933,1.08257,0.009043,0.009043,0.009043
31,8897.54,1.09072,0.52025,1.09674,0.97867,0.94067,0.97304,0.69578,1.08374,0.45631,1.08089,0.00901,0.00901,0.00901
32,9184.45,1.08226,0.52086,1.08507,0.98461,0.93279,0.9719,0.69408,1.08239,0.44293,1.07034,0.008977,0.008977,0.008977
33,9469.73,1.07962,0.51366,1.08306,0.9773,0.94077,0.97039,0.68799,1.08138,0.44829,1.08047,0.008944,0.008944,0.008944
34,9751.71,1.0889,0.51568,1.08753,0.98613,0.93906,0.97222,0.69395,1.07054,0.44476,1.06942,0.008911,0.008911,0.008911
35,10034.1,1.07855,0.51582,1.078,0.98467,0.93485,0.97186,0.69649,1.08641,0.44195,1.07624,0.008878,0.008878,0.008878
36,10322.3,1.07408,0.50582,1.0794,0.97318,0.9423,0.97191,0.69562,1.08285,0.44231,1.07368,0.008845,0.008845,0.008845
37,10611.7,1.06249,0.50026,1.0679,0.98466,0.94032,0.97305,0.70321,1.06613,0.43576,1.06169,0.008812,0.008812,0.008812
38,10897.8,1.08164,0.50632,1.07771,0.98098,0.9401,0.96835,0.6999,1.07787,0.43056,1.06303,0.008779,0.008779,0.008779
39,11181.9,1.07242,0.50386,1.08497,0.98214,0.93303,0.97064,0.70016,1.06944,0.43543,1.07266,0.008746,0.008746,0.008746
40,11466.5,1.07005,0.50263,1.07617,0.97931,0.94866,0.97374,0.69834,1.07187,0.42297,1.06618,0.008713,0.008713,0.008713
41,11753.6,1.05747,0.49308,1.07294,0.98289,0.94224,0.97417,0.6974,1.07224,0.41709,1.06712,0.00868,0.00868,0.00868
42,12037.2,1.05833,0.49503,1.07495,0.98576,0.94487,0.97428,0.70469,1.05785,0.41806,1.06494,0.008647,0.008647,0.008647
43,12322.7,1.0563,0.49148,1.07191,0.98267,0.94032,0.97523,0.70275,1.05837,0.41593,1.06137,0.008614,0.008614,0.008614
44,12606.4,1.05488,0.4935,1.07213,0.98335,0.94533,0.97204,0.70398,1.06481,0.42665,1.06654,0.008581,0.008581,0.008581
45,12892.9,1.0573,0.49044,1.07357,0.98432,0.94368,0.97489,0.70521,1.06693,0.41458,1.06343,0.008548,0.008548,0.008548
46,13178.8,1.05844,0.48944,1.06958,0.98254,0.94857,0.97599,0.70533,1.05721,0.4176,1.06442,0.008515,0.008515,0.008515
47,13463.8,1.04825,0.48504,1.07003,0.98628,0.94305,0.97567,0.7064,1.05967,0.41486,1.06528,0.008482,0.008482,0.008482
48,13750.2,1.05004,0.48588,1.07061,0.97928,0.9508,0.97507,0.71019,1.05105,0.40793,1.05175,0.008449,0.008449,0.008449
49,14037.3,1.05752,0.48461,1.07082,0.98576,0.94617,0.97627,0.71011,1.05426,0.41672,1.05513,0.008416,0.008416,0.008416
50,14321.1,1.038,0.47617,1.06682,0.9851,0.94579,0.97375,0.70428,1.05331,0.40512,1.06101,0.008383,0.008383,0.008383
51,14607.7,1.05177,0.48228,1.07299,0.9904,0.94037,0.97787,0.71456,1.05029,0.40385,1.05155,0.00835,0.00835,0.00835
52,14896.4,1.03829,0.47914,1.06156,0.98472,0.94442,0.97619,0.70997,1.04808,0.40158,1.05307,0.008317,0.008317,0.008317
53,15182.3,1.04582,0.47889,1.05997,0.98112,0.94698,0.97586,0.70866,1.05083,0.40067,1.05139,0.008284,0.008284,0.008284
54,15466.4,1.03955,0.4741,1.0571,0.98458,0.94852,0.97642,0.71554,1.04935,0.40072,1.05129,0.008251,0.008251,0.008251
55,15766.1,1.04035,0.4706,1.05857,0.98425,0.94442,0.97518,0.71201,1.04793,0.39295,1.0506,0.008218,0.008218,0.008218
56,16056.1,1.03561,0.47026,1.06228,0.98438,0.94731,0.97555,0.71313,1.04538,0.39369,1.05535,0.008185,0.008185,0.008185
57,16339.7,1.03942,0.46682,1.05557,0.98757,0.94099,0.97724,0.71685,1.046,0.39438,1.05126,0.008152,0.008152,0.008152
58,16627,1.03782,0.46761,1.05614,0.98397,0.9507,0.97813,0.7176,1.04682,0.3937,1.04988,0.008119,0.008119,0.008119
59,16936.4,1.03159,0.46913,1.05341,0.98788,0.94579,0.97651,0.71404,1.03992,0.39422,1.05104,0.008086,0.008086,0.008086
60,17227.3,1.03084,0.46908,1.06278,0.99247,0.94032,0.97877,0.72042,1.03607,0.38494,1.04849,0.008053,0.008053,0.008053
61,17514.2,1.02839,0.46639,1.06142,0.98533,0.94855,0.9782,0.72181,1.03477,0.38142,1.04811,0.00802,0.00802,0.00802
62,17799.9,1.02998,0.46685,1.06504,0.98298,0.95034,0.97803,0.72232,1.04181,0.38843,1.05413,0.007987,0.007987,0.007987
63,18086.8,1.01069,0.45844,1.05843,0.97671,0.95529,0.97715,0.71862,1.03875,0.38436,1.05259,0.007954,0.007954,0.007954
64,18372.2,1.02084,0.45721,1.05387,0.9856,0.95444,0.97937,0.72266,1.04183,0.37888,1.04618,0.007921,0.007921,0.007921
65,18663.8,1.02334,0.45926,1.05693,0.98255,0.94895,0.97846,0.72366,1.03477,0.38532,1.04699,0.007888,0.007888,0.007888
66,18949.8,1.01787,0.45635,1.05557,0.97573,0.95252,0.97639,0.72053,1.03478,0.37745,1.04626,0.007855,0.007855,0.007855
67,19233.5,1.01983,0.45662,1.05311,0.98432,0.94761,0.97719,0.71932,1.03337,0.37979,1.04657,0.007822,0.007822,0.007822
68,4976,1.00717,0.44407,1.05022,0.98228,0.95308,0.97777,0.72109,1.04077,0.38039,1.05216,0.007789,0.007789,0.007789
69,5053.76,1.0232,0.45859,1.05979,0.98263,0.95351,0.97907,0.72152,1.03816,0.38005,1.04646,0.007756,0.007756,0.007756
70,5130.92,1.02034,0.45514,1.06199,0.9853,0.94663,0.97874,0.72181,1.03677,0.37892,1.04775,0.007723,0.007723,0.007723
71,5207.6,1.01955,0.45527,1.05711,0.99042,0.94169,0.97761,0.72302,1.03761,0.37818,1.04421,0.00769,0.00769,0.00769
72,5285.16,1.00399,0.44664,1.05713,0.98214,0.95197,0.97853,0.72451,1.03846,0.37639,1.04949,0.007657,0.007657,0.007657
73,5371.36,1.01816,0.45232,1.06097,0.9862,0.94413,0.97566,0.71892,1.03573,0.37886,1.05149,0.007624,0.007624,0.007624
74,5448.65,1.01264,0.44863,1.05654,0.98376,0.9467,0.97381,0.72085,1.0373,0.37665,1.04688,0.007591,0.007591,0.007591
75,5525.6,1.00637,0.45387,1.05364,0.98737,0.94806,0.97635,0.72348,1.03305,0.37062,1.05068,0.007558,0.007558,0.007558
76,5603.15,1.00276,0.44509,1.05108,0.98725,0.94351,0.97724,0.72013,1.03445,0.36952,1.04618,0.007525,0.007525,0.007525
77,5679.94,0.99784,0.44339,1.04262,0.98225,0.9508,0.97857,0.72435,1.03309,0.36979,1.04315,0.007492,0.007492,0.007492
78,5756.8,0.99842,0.43969,1.04086,0.97985,0.95278,0.97779,0.72215,1.03546,0.36935,1.04304,0.007459,0.007459,0.007459
79,5833.9,1.00519,0.44733,1.04519,0.9826,0.95184,0.9783,0.72245,1.03325,0.36567,1.0433,0.007426,0.007426,0.007426
80,5911.05,1.00183,0.44378,1.04776,0.984,0.95232,0.97878,0.72501,1.036,0.36826,1.04628,0.007393,0.007393,0.007393
81,5989.44,1.00072,0.44736,1.04783,0.98589,0.95506,0.97983,0.72562,1.03788,0.36507,1.04451,0.00736,0.00736,0.00736
82,6068.26,0.99964,0.43994,1.04412,0.98543,0.95496,0.97953,0.72726,1.03233,0.36202,1.04163,0.007327,0.007327,0.007327
83,6147.08,0.99168,0.43543,1.03738,0.98223,0.95703,0.97938,0.72728,1.03083,0.36194,1.03864,0.007294,0.007294,0.007294
84,6225.87,0.99359,0.43893,1.04241,0.98126,0.95436,0.97855,0.72527,1.03243,0.36251,1.04038,0.007261,0.007261,0.007261
85,6302.96,0.98684,0.43159,1.04118,0.9813,0.95624,0.97932,0.72555,1.03278,0.36194,1.03953,0.007228,0.007228,0.007228
