epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2073.87,1.23844,1.89461,1.19683,0.96158,0.88793,0.93238,0.59243,1.19598,1.03124,1.10523,0.00332579,0.00332579,0.00332579
2,2149.37,1.22346,1.0239,1.12924,0.95973,0.87949,0.92783,0.59408,1.25201,0.84193,1.17798,0.00663715,0.00663715,0.00663715
3,2226.74,1.26904,0.89783,1.17313,0.95159,0.84237,0.90821,0.54707,1.37822,0.87022,1.28093,0.00992651,0.00992651,0.00992651
4,2302.1,1.28155,0.83997,1.19881,0.87955,0.84237,0.87234,0.55413,1.29742,0.8743,1.28432,0.009901,0.009901,0.009901
5,2378.28,1.24445,0.76879,1.19405,0.94248,0.89577,0.92966,0.61034,1.21211,0.67825,1.18736,0.009868,0.009868,0.009868
6,2456.03,1.24093,0.73818,1.17587,0.95013,0.87668,0.92098,0.60339,1.24384,0.69172,1.20218,0.009835,0.009835,0.009835
7,2532.04,1.23118,0.71795,1.17457,0.96168,0.90661,0.94147,0.63352,1.18134,0.62569,1.1717,0.009802,0.009802,0.009802
8,2607.67,1.20728,0.69269,1.16143,0.94764,0.90888,0.94064,0.63211,1.1915,0.62144,1.14756,0.009769,0.009769,0.009769
9,2683.4,1.20252,0.67982,1.15492,0.97455,0.90979,0.95222,0.64391,1.16966,0.59117,1.15282,0.009736,0.009736,0.009736
10,2759.89,1.1822,0.6537,1.15132,0.96876,0.90615,0.95011,0.64239,1.16988,0.58391,1.15996,0.009703,0.009703,0.009703
11,2835.35,1.17773,0.64425,1.13721,0.96433,0.9114,0.94482,0.64582,1.16256,0.57297,1.14173,0.00967,0.00967,0.00967
12,2910.68,1.17798,0.64559,1.14237,0.97081,0.90919,0.94742,0.65168,1.16078,0.57381,1.15341,0.009637,0.009637,0.009637
13,2986.3,1.17583,0.63373,1.14492,0.97892,0.90962,0.95448,0.65569,1.14056,0.55534,1.1325,0.009604,0.009604,0.009604
14,3061.93,1.16722,0.62576,1.14058,0.97005,0.91492,0.95091,0.64802,1.14377,0.56509,1.14422,0.009571,0.009571,0.009571
15,3138.26,1.15694,0.611,1.12798,0.96654,0.91481,0.95129,0.64607,1.15104,0.56224,1.14054,0.009538,0.009538,0.009538
16,3214.02,1.15281,0.61847,1.13058,0.97442,0.9198,0.95654,0.66357,1.15131,0.53303,1.13541,0.009505,0.009505,0.009505
17,3289.32,1.15235,0.60527,1.13215,0.97782,0.91572,0.95883,0.66155,1.14644,0.52977,1.14025,0.009472,0.009472,0.009472
18,3364.77,1.14159,0.59344,1.12463,0.97702,0.92073,0.95613,0.66082,1.1298,0.53468,1.12679,0.009439,0.009439,0.009439
19,3440.25,1.13832,0.59262,1.12382,0.96992,0.92118,0.95626,0.66099,1.11961,0.53399,1.11582,0.009406,0.009406,0.009406
20,3514.97,1.13436,0.58005,1.11548,0.97767,0.91735,0.95897,0.66289,1.14055,0.52507,1.10628,0.009373,0.009373,0.009373
21,3590.8,1.13299,0.58304,1.1098,0.97565,0.91276,0.95989,0.66588,1.11807,0.53592,1.12559,0.00934,0.00934,0.00934
22,3666.28,1.1356,0.57863,1.11497,0.98101,0.91936,0.9575,0.66538,1.10572,0.51532,1.10371,0.009307,0.009307,0.009307
23,3742.04,1.12443,0.57296,1.10239,0.97936,0.92944,0.9632,0.67025,1.11522,0.4966,1.09891,0.009274,0.009274,0.009274
24,3817.56,1.13397,0.57008,1.1139,0.97421,0.92944,0.96078,0.66943,1.11611,0.51021,1.1172,0.009241,0.009241,0.009241
25,3892.93,1.11046,0.56865,1.10384,0.98413,0.92255,0.95959,0.67044,1.10997,0.5082,1.11323,0.009208,0.009208,0.009208
26,3968.6,1.11857,0.56145,1.10368,0.97877,0.92408,0.9638,0.67576,1.11524,0.49828,1.11303,0.009175,0.009175,0.009175
27,4043.33,1.1257,0.56202,1.10566,0.98186,0.93121,0.96517,0.68062,1.108,0.49458,1.10873,0.009142,0.009142,0.009142
28,4119.01,1.11065,0.55532,1.10218,0.97942,0.9323,0.96341,0.67679,1.10762,0.48922,1.09118,0.009109,0.009109,0.009109
29,4195.18,1.11287,0.55629,1.10372,0.97661,0.9322,0.96587,0.67297,1.10714,0.49369,1.10847,0.009076,0.009076,0.009076
30,4271.44,1.10374,0.54643,1.09522,0.98223,0.93163,0.96498,0.68537,1.09669,0.48135,1.09948,0.009043,0.009043,0.009043
31,4347.15,1.10444,0.54335,1.09902,0.97239,0.93045,0.96367,0.68184,1.10434,0.4724,1.09532,0.00901,0.00901,0.00901
32,4422.26,1.09892,0.54859,1.09017,0.97666,0.93424,0.96482,0.68242,1.10326,0.47134,1.10436,0.008977,0.008977,0.008977
33,4497.83,1.09813,0.5449,1.0956,0.97658,0.93068,0.96324,0.67739,1.09777,0.47299,1.10011,0.008944,0.008944,0.008944
34,4573.42,1.1109,0.54358,1.09506,0.97036,0.93485,0.96687,0.68653,1.08648,0.45999,1.08871,0.008911,0.008911,0.008911
35,4649.3,1.09702,0.54116,1.09231,0.97606,0.93075,0.96273,0.68023,1.0921,0.46382,1.09112,0.008878,0.008878,0.008878
36,4724.59,1.09661,0.53414,1.09494,0.97805,0.93377,0.97008,0.69175,1.09482,0.46782,1.08592,0.008845,0.008845,0.008845
37,4800.74,1.08784,0.52715,1.0797,0.98176,0.93165,0.96899,0.69108,1.07997,0.46035,1.07677,0.008812,0.008812,0.008812
38,4876.72,1.09848,0.53105,1.09125,0.96604,0.93986,0.968,0.69309,1.08581,0.45356,1.0841,0.008779,0.008779,0.008779
39,4953.23,1.09255,0.52711,1.08813,0.97439,0.93594,0.9691,0.6886,1.08542,0.46164,1.08721,0.008746,0.008746,0.008746
40,5028.9,1.0927,0.52765,1.08302,0.97921,0.93895,0.96924,0.68939,1.08613,0.44515,1.08495,0.008713,0.008713,0.008713
41,5103.88,1.08342,0.52525,1.08037,0.98184,0.93622,0.96532,0.68431,1.08191,0.44792,1.08319,0.00868,0.00868,0.00868
42,5178.57,1.0848,0.52389,1.08012,0.98197,0.94311,0.97044,0.69657,1.07248,0.44421,1.07018,0.008647,0.008647,0.008647
43,5254.47,1.0813,0.51481,1.07561,0.9837,0.93531,0.96976,0.69496,1.07722,0.44288,1.07827,0.008614,0.008614,0.008614
44,5329.87,1.08092,0.51949,1.07981,0.98374,0.93731,0.9677,0.69227,1.07845,0.44089,1.08401,0.008581,0.008581,0.008581
45,5404.59,1.08048,0.51537,1.07601,0.9809,0.94032,0.97315,0.69656,1.077,0.44981,1.07113,0.008548,0.008548,0.008548
46,5480.08,1.08508,0.51578,1.07554,0.97914,0.94082,0.9699,0.6929,1.07314,0.44337,1.09359,0.008515,0.008515,0.008515
47,5555.78,1.07099,0.51455,1.07072,0.9783,0.94499,0.97176,0.69648,1.06953,0.43754,1.07806,0.008482,0.008482,0.008482
48,5632.59,1.07767,0.51372,1.07883,0.98337,0.9426,0.97158,0.69589,1.06973,0.42663,1.06543,0.008449,0.008449,0.008449
49,5708.84,1.08383,0.51215,1.08193,0.98776,0.93986,0.97307,0.69659,1.06484,0.4378,1.07875,0.008416,0.008416,0.008416
50,5785.05,1.06239,0.5027,1.07235,0.98511,0.93455,0.96976,0.69663,1.06474,0.42698,1.0788,0.008383,0.008383,0.008383
51,5860.72,1.08286,0.51205,1.08414,0.98515,0.937,0.97112,0.70311,1.05934,0.42606,1.06611,0.00835,0.00835,0.00835
52,5937.21,1.06371,0.50467,1.06801,0.98742,0.9301,0.97132,0.70411,1.06195,0.42319,1.06149,0.008317,0.008317,0.008317
53,6013.32,1.07701,0.50895,1.07536,0.98289,0.94192,0.97285,0.70283,1.06333,0.42209,1.06903,0.008284,0.008284,0.008284
54,6089.1,1.06716,0.50108,1.07214,0.98943,0.93802,0.97323,0.69817,1.05883,0.41823,1.0685,0.008251,0.008251,0.008251
55,6165.3,1.06407,0.50214,1.06912,0.98662,0.94065,0.97189,0.6997,1.05875,0.41452,1.06722,0.008218,0.008218,0.008218
56,6241.15,1.06869,0.49917,1.06991,0.98056,0.9426,0.96997,0.70564,1.06109,0.41495,1.0693,0.008185,0.008185,0.008185
57,6317.17,1.06483,0.49918,1.06411,0.98528,0.94123,0.97433,0.70932,1.04934,0.41267,1.06335,0.008152,0.008152,0.008152
58,6393.11,1.06786,0.49347,1.06806,0.98162,0.94891,0.97568,0.70508,1.06171,0.41795,1.06708,0.008119,0.008119,0.008119
59,6468.87,1.05724,0.49291,1.06299,0.98697,0.94305,0.97476,0.70455,1.04929,0.40641,1.06894,0.008086,0.008086,0.008086
60,6544.22,1.06018,0.49292,1.06806,0.99324,0.93707,0.97487,0.70864,1.04999,0.40834,1.06246,0.008053,0.008053,0.008053
61,6619.53,1.05896,0.49732,1.07061,0.97788,0.94675,0.97611,0.70803,1.05428,0.4055,1.06742,0.00802,0.00802,0.00802
62,6694.63,1.06019,0.49486,1.06366,0.98189,0.9386,0.9728,0.70599,1.05187,0.40366,1.05877,0.007987,0.007987,0.007987
63,6769.88,1.04303,0.48493,1.05932,0.98612,0.93854,0.97533,0.70824,1.05127,0.40243,1.06174,0.007954,0.007954,0.007954
64,6845.35,1.04975,0.4842,1.06446,0.97872,0.94533,0.97434,0.70747,1.05294,0.40528,1.0645,0.007921,0.007921,0.007921
65,6920.93,1.05615,0.48756,1.06435,0.98617,0.9421,0.97509,0.71023,1.04875,0.40214,1.05931,0.007888,0.007888,0.007888
66,6995.76,1.04699,0.48409,1.06302,0.9874,0.94214,0.97531,0.71262,1.04268,0.40019,1.05803,0.007855,0.007855,0.007855
67,7071.39,1.05085,0.48164,1.05965,0.98754,0.93893,0.97406,0.71077,1.04637,0.40106,1.05785,0.007822,0.007822,0.007822
68,7146.81,1.05677,0.48988,1.06522,0.98359,0.94169,0.97496,0.7093,1.05243,0.40357,1.06494,0.007789,0.007789,0.007789
69,7221.73,1.04815,0.48298,1.06014,0.98139,0.9426,0.97435,0.70853,1.04912,0.39562,1.05914,0.007756,0.007756,0.007756
70,7296.88,1.05271,0.4874,1.05641,0.98049,0.94806,0.97451,0.70885,1.05006,0.39762,1.05212,0.007723,0.007723,0.007723
71,7371.64,1.04548,0.48111,1.05217,0.98379,0.9467,0.97668,0.7127,1.04227,0.39344,1.04805,0.00769,0.00769,0.00769
72,7447,1.0486,0.48437,1.05887,0.98739,0.94533,0.97624,0.71027,1.04101,0.39465,1.05364,0.007657,0.007657,0.007657
73,7522.07,1.04175,0.47497,1.05994,0.99323,0.93631,0.97482,0.71093,1.04568,0.3961,1.05688,0.007624,0.007624,0.007624
74,7597.13,1.04454,0.47462,1.05861,0.98709,0.94072,0.97588,0.71475,1.04045,0.3903,1.05036,0.007591,0.007591,0.007591
75,7671.97,1.03471,0.47413,1.05279,0.98378,0.9397,0.97403,0.71313,1.03871,0.39118,1.04919,0.007558,0.007558,0.007558
76,7746.52,1.04148,0.47779,1.05412,0.98427,0.94069,0.97346,0.71358,1.03922,0.39054,1.0467,0.007525,0.007525,0.007525
77,7821.21,1.04244,0.47455,1.0514,0.98105,0.94989,0.97701,0.71384,1.03951,0.38912,1.04785,0.007492,0.007492,0.007492
78,7895.81,1.0323,0.47159,1.04594,0.98482,0.94123,0.97605,0.71252,1.04545,0.39212,1.05053,0.007459,0.007459,0.007459
79,7970.63,1.03353,0.47016,1.05003,0.98316,0.95125,0.97721,0.71465,1.04286,0.38757,1.05303,0.007426,0.007426,0.007426
80,8045.8,1.03767,0.47383,1.05107,0.98949,0.94388,0.97623,0.71524,1.0423,0.38765,1.05345,0.007393,0.007393,0.007393
81,8120.83,1.03994,0.47725,1.05951,0.98486,0.94863,0.97778,0.71604,1.04038,0.38547,1.05484,0.00736,0.00736,0.00736
82,8195.76,1.02154,0.46833,1.04992,0.98744,0.94396,0.97553,0.71232,1.04322,0.38656,1.05807,0.007327,0.007327,0.007327
83,8271.35,1.03647,0.47283,1.055,0.98591,0.94624,0.97632,0.71447,1.0437,0.38815,1.05988,0.007294,0.007294,0.007294
84,8346.68,1.0274,0.46649,1.05046,0.98625,0.94752,0.97547,0.7137,1.04273,0.38424,1.05527,0.007261,0.007261,0.007261
85,8421.47,1.03089,0.46615,1.05035,0.98305,0.95128,0.97698,0.71478,1.04046,0.38427,1.05004,0.007228,0.007228,0.007228
86,8496.51,1.02821,0.4635,1.0537,0.98671,0.94742,0.97713,0.71592,1.04171,0.38349,1.05199,0.007195,0.007195,0.007195
87,8572,1.02416,0.46571,1.0563,0.98163,0.94938,0.97704,0.71608,1.0407,0.38307,1.05261,0.007162,0.007162,0.007162
88,8646.88,1.03083,0.46932,1.05883,0.98949,0.94487,0.97727,0.7137,1.03992,0.38117,1.05765,0.007129,0.007129,0.007129
89,8722.69,1.03289,0.46568,1.05214,0.98579,0.94305,0.97661,0.71393,1.03942,0.38096,1.05714,0.007096,0.007096,0.007096
90,8797.96,1.03884,0.47336,1.0505,0.98113,0.95171,0.97657,0.71561,1.03665,0.3798,1.05451,0.007063,0.007063,0.007063
91,8873.6,1.0206,0.4574,1.04694,0.97961,0.95216,0.97765,0.71859,1.03295,0.37939,1.05058,0.00703,0.00703,0.00703
92,8948.74,1.013,0.45266,1.04802,0.97672,0.95556,0.97745,0.71867,1.03546,0.37863,1.05259,0.006997,0.006997,0.006997
93,9024.01,1.02028,0.45621,1.0469,0.98389,0.9459,0.97754,0.71945,1.03138,0.37634,1.04942,0.006964,0.006964,0.006964
94,9099.53,1.02155,0.45889,1.05127,0.9835,0.95054,0.97856,0.72303,1.03004,0.37652,1.05207,0.006931,0.006931,0.006931
95,9174.82,1.01566,0.45731,1.04562,0.97937,0.9508,0.97804,0.72086,1.02868,0.37675,1.05149,0.006898,0.006898,0.006898
96,9250.59,1.00933,0.44959,1.04026,0.98714,0.94388,0.97752,0.7193,1.03149,0.37625,1.05248,0.006865,0.006865,0.006865
97,9325.45,1.00959,0.45566,1.04273,0.98072,0.94997,0.97754,0.72144,1.03005,0.37539,1.05181,0.006832,0.006832,0.006832
98,9399.35,1.01326,0.45202,1.04158,0.9867,0.94612,0.97846,0.721,1.03204,0.37517,1.05011,0.006799,0.006799,0.006799
99,9474.5,1.01322,0.45929,1.03805,0.9881,0.94542,0.97852,0.72081,1.03326,0.37672,1.04655,0.006766,0.006766,0.006766
100,9550.09,1.01766,0.45254,1.04492,0.98637,0.94715,0.9779,0.72055,1.03269,0.37316,1.04472,0.006733,0.006733,0.006733
101,9625.61,1.01191,0.4534,1.04117,0.98824,0.94806,0.97835,0.72034,1.03117,0.37195,1.04326,0.0067,0.0067,0.0067
102,9700.88,1.01542,0.45623,1.04245,0.98851,0.94761,0.97697,0.72068,1.0307,0.37192,1.04229,0.006667,0.006667,0.006667
103,9776.65,1.00695,0.45236,1.04028,0.98808,0.94448,0.97737,0.72005,1.03039,0.37076,1.04316,0.006634,0.006634,0.006634
