epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2129.59,1.22649,1.20156,1.14073,0.97441,0.91071,0.95496,0.64226,1.17742,0.57041,1.07897,0.00332579,0.00332579,0.00332579
2,2203.97,1.20044,0.68374,1.08845,0.92922,0.87836,0.9259,0.60557,1.22727,0.70717,1.13628,0.00663715,0.00663715,0.00663715
3,2278.88,1.26149,0.775,1.13949,0.91903,0.85321,0.90218,0.5779,1.26966,0.857,1.19386,0.00992651,0.00992651,0.00992651
4,2354.26,1.28613,0.79819,1.18153,0.90642,0.8492,0.89456,0.57467,1.28423,0.86234,1.23178,0.009901,0.009901,0.009901
5,2429.25,1.24488,0.73379,1.16568,0.94685,0.8738,0.92505,0.62001,1.21706,0.67381,1.17219,0.009868,0.009868,0.009868
6,2504.27,1.23852,0.72039,1.15878,0.94512,0.88793,0.93014,0.62557,1.17558,0.66833,1.13977,0.009835,0.009835,0.009835
7,2580.22,1.22842,0.70785,1.14464,0.94919,0.88975,0.92894,0.61583,1.2263,0.6354,1.15528,0.009802,0.009802,0.009802
8,2655.82,1.20837,0.67469,1.13876,0.95532,0.90661,0.9429,0.6346,1.18741,0.61546,1.14417,0.009769,0.009769,0.009769
9,2731.8,1.19331,0.65171,1.12846,0.97531,0.8999,0.94393,0.62802,1.19972,0.60526,1.14648,0.009736,0.009736,0.009736
10,2807.55,1.17518,0.63623,1.11593,0.96861,0.91365,0.9541,0.64584,1.1552,0.56806,1.12278,0.009703,0.009703,0.009703
11,2884.33,1.17188,0.62609,1.11333,0.95833,0.91164,0.94767,0.65168,1.16258,0.56694,1.12566,0.00967,0.00967,0.00967
12,2960.55,1.16738,0.62477,1.11347,0.97298,0.91883,0.95768,0.65547,1.14038,0.54002,1.11338,0.009637,0.009637,0.009637
13,3037.27,1.1656,0.61335,1.10806,0.9713,0.9251,0.9616,0.66147,1.12709,0.52885,1.09147,0.009604,0.009604,0.009604
14,3114.85,1.1578,0.60754,1.10169,0.97463,0.92744,0.96349,0.66337,1.12346,0.54299,1.1019,0.009571,0.009571,0.009571
