epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2052.65,1.20622,0.97096,1.17484,0.97498,0.91116,0.9526,0.63522,1.19018,0.64681,1.12354,0.00332579,0.00332579,0.00332579
2,2178.43,1.21786,0.68392,1.15673,0.93075,0.87426,0.91556,0.53081,1.36199,0.74556,1.27872,0.00663715,0.00663715,0.00663715
3,2303.88,1.28848,0.80277,1.20094,0.88335,0.80728,0.86183,0.53327,1.37517,1.0731,1.28489,0.00992651,0.00992651,0.00992651
4,2428.43,1.31549,0.82664,1.23116,0.76962,0.74943,0.79797,0.4968,1.34661,1.22735,1.29928,0.009901,0.009901,0.009901
5,2553.2,1.27156,0.76068,1.23358,0.92709,0.8747,0.90212,0.58198,1.2249,0.71953,1.22856,0.009868,0.009868,0.009868
6,2677.67,1.2568,0.73245,1.2419,0.88378,0.85376,0.87142,0.58182,1.24595,0.80786,1.24124,0.009835,0.009835,0.009835
7,2801.9,1.23084,0.70708,1.21858,0.96523,0.88064,0.92793,0.62721,1.18994,0.66884,1.20835,0.009802,0.009802,0.009802
8,2926.4,1.2137,0.67692,1.22082,0.95793,0.90254,0.93622,0.62522,1.19951,0.63342,1.21552,0.009769,0.009769,0.009769
9,3050.86,1.20934,0.65887,1.2277,0.96068,0.89841,0.94221,0.63981,1.15635,0.61456,1.20333,0.009736,0.009736,0.009736
10,3179.84,1.18282,0.63152,1.21211,0.97161,0.90424,0.94246,0.63598,1.17846,0.58164,1.19755,0.009703,0.009703,0.009703
11,3304.26,1.18603,0.62857,1.22666,0.96586,0.91617,0.95436,0.65975,1.1502,0.56156,1.21703,0.00967,0.00967,0.00967
12,3433.53,1.17569,0.60927,1.22819,0.97288,0.91532,0.95491,0.65577,1.14913,0.54678,1.21874,0.009637,0.009637,0.009637
13,3558.11,1.16863,0.60132,1.21717,0.98032,0.90794,0.95402,0.64989,1.14586,0.54523,1.20242,0.009604,0.009604,0.009604
14,3682.27,1.15876,0.59311,1.21814,0.97063,0.9184,0.95581,0.66786,1.13428,0.55066,1.20412,0.009571,0.009571,0.009571
15,3811.24,1.14228,0.57773,1.19957,0.9754,0.92112,0.95306,0.6506,1.15554,0.5195,1.19069,0.009538,0.009538,0.009538
16,3935.75,1.144,0.57089,1.20544,0.98295,0.91919,0.9556,0.65432,1.15908,0.51786,1.19027,0.009505,0.009505,0.009505
17,4060.21,1.1429,0.56268,1.20579,0.97974,0.92548,0.963,0.66832,1.13901,0.51367,1.20861,0.009472,0.009472,0.009472
18,4188.64,1.13184,0.55699,1.21742,0.96578,0.918,0.95458,0.66219,1.15468,0.52424,1.21728,0.009439,0.009439,0.009439
19,4312.91,1.12395,0.54513,1.21202,0.97125,0.92354,0.95903,0.67415,1.11422,0.49774,1.19535,0.009406,0.009406,0.009406
20,4441.61,1.11562,0.54309,1.2009,0.96428,0.93482,0.96152,0.67009,1.12773,0.48624,1.20899,0.009373,0.009373,0.009373
21,4566.14,1.12272,0.54611,1.20124,0.97801,0.932,0.96491,0.67359,1.11635,0.48103,1.20585,0.00934,0.00934,0.00934
22,4695.31,1.12321,0.53435,1.20651,0.97406,0.92363,0.95991,0.66859,1.1137,0.49031,1.19456,0.009307,0.009307,0.009307
23,4819.47,1.11033,0.52644,1.20009,0.97741,0.92654,0.963,0.67463,1.09871,0.47803,1.19062,0.009274,0.009274,0.009274
24,4948.65,1.11585,0.52084,1.20476,0.98354,0.92545,0.9679,0.68294,1.10184,0.47674,1.19907,0.009241,0.009241,0.009241
25,5077.88,1.09503,0.51907,1.1968,0.98269,0.93086,0.96711,0.67636,1.10547,0.48499,1.21321,0.009208,0.009208,0.009208
26,5202.47,1.09751,0.51126,1.20424,0.9789,0.93713,0.96924,0.68213,1.10318,0.46845,1.20298,0.009175,0.009175,0.009175
27,5326.97,1.10242,0.51345,1.20555,0.97803,0.93257,0.96726,0.68279,1.1004,0.47533,1.2111,0.009142,0.009142,0.009142
28,5451.48,1.08993,0.51219,1.1963,0.9814,0.93724,0.96981,0.68961,1.09786,0.47146,1.19184,0.009109,0.009109,0.009109
29,5580.2,1.09486,0.50561,1.19282,0.9795,0.93759,0.97037,0.68571,1.09175,0.47964,1.20731,0.009076,0.009076,0.009076
30,5704.65,1.08143,0.49883,1.19353,0.97996,0.92984,0.9704,0.70203,1.0875,0.46529,1.17791,0.009043,0.009043,0.009043
31,5833.49,1.08411,0.49736,1.18987,0.97622,0.93759,0.96848,0.68734,1.09578,0.44261,1.19623,0.00901,0.00901,0.00901
32,5957.78,1.07902,0.49607,1.18823,0.98002,0.93841,0.96903,0.69419,1.0877,0.45029,1.2112,0.008977,0.008977,0.008977
33,6082,1.08046,0.49567,1.19217,0.98218,0.93394,0.9669,0.69136,1.0735,0.44194,1.19976,0.008944,0.008944,0.008944
34,6206.41,1.0843,0.49113,1.19587,0.98058,0.94293,0.9725,0.6962,1.07622,0.44339,1.21275,0.008911,0.008911,0.008911
35,6331.04,1.07629,0.50093,1.19338,0.9837,0.93489,0.97179,0.69667,1.08172,0.44098,1.19416,0.008878,0.008878,0.008878
36,6455.9,1.0707,0.48435,1.19419,0.98298,0.9385,0.96967,0.69668,1.08887,0.44511,1.21193,0.008845,0.008845,0.008845
37,6580.27,1.05613,0.47759,1.18493,0.98515,0.93716,0.97428,0.70203,1.0738,0.43214,1.19284,0.008812,0.008812,0.008812
38,6709.47,1.07212,0.48588,1.1891,0.98374,0.93712,0.97313,0.69753,1.0831,0.43712,1.1926,0.008779,0.008779,0.008779
39,6833.99,1.06628,0.4757,1.18611,0.98584,0.93804,0.97462,0.69992,1.06778,0.43249,1.19497,0.008746,0.008746,0.008746
40,6958.31,1.07032,0.4797,1.18911,0.98554,0.93713,0.97252,0.70192,1.06823,0.4335,1.21402,0.008713,0.008713,0.008713
41,7082.71,1.06027,0.4798,1.18669,0.98517,0.93813,0.97214,0.69707,1.0763,0.43546,1.22068,0.00868,0.00868,0.00868
42,7207.29,1.05577,0.4765,1.18455,0.98572,0.94359,0.97442,0.70219,1.06326,0.42293,1.20238,0.008647,0.008647,0.008647
43,7336.58,1.05495,0.47392,1.18475,0.97983,0.9426,0.97333,0.70239,1.06588,0.43149,1.22235,0.008614,0.008614,0.008614
44,7466.91,1.0527,0.47167,1.18039,0.98337,0.94275,0.97474,0.70505,1.07527,0.42274,1.20472,0.008581,0.008581,0.008581
45,7597.23,1.05205,0.46758,1.18085,0.98682,0.94077,0.97545,0.70774,1.06378,0.42386,1.21542,0.008548,0.008548,0.008548
46,7728.67,1.05169,0.46536,1.17907,0.97812,0.94761,0.9748,0.69932,1.06785,0.4319,1.22491,0.008515,0.008515,0.008515
47,7853.71,1.04245,0.46892,1.1676,0.99053,0.94077,0.97522,0.70748,1.06145,0.41759,1.19093,0.008482,0.008482,0.008482
48,7978.07,1.04691,0.46622,1.17955,0.98861,0.94077,0.97506,0.70997,1.06302,0.42185,1.20298,0.008449,0.008449,0.008449
49,8107.28,1.05774,0.46534,1.18656,0.98156,0.94579,0.97394,0.70817,1.0606,0.42005,1.20746,0.008416,0.008416,0.008416
50,8231.83,1.03523,0.4561,1.17306,0.98432,0.94402,0.97642,0.70706,1.05697,0.41756,1.2129,0.008383,0.008383,0.008383
51,8356.04,1.05275,0.46587,1.17985,0.98851,0.94078,0.97651,0.71552,1.04694,0.41172,1.1817,0.00835,0.00835,0.00835
52,8484.5,1.03681,0.45677,1.16707,0.9891,0.93895,0.97565,0.71348,1.04948,0.40405,1.17241,0.008317,0.008317,0.008317
53,8609.42,1.0433,0.46055,1.16674,0.98127,0.94715,0.97521,0.70925,1.06144,0.40539,1.17989,0.008284,0.008284,0.008284
54,8735.77,1.0351,0.45822,1.17012,0.9885,0.93981,0.97271,0.71342,1.05252,0.40628,1.21668,0.008251,0.008251,0.008251
55,8862.11,1.0342,0.45428,1.17153,0.98394,0.94882,0.97814,0.71563,1.05624,0.40213,1.19941,0.008218,0.008218,0.008218
56,8991.09,1.03663,0.45128,1.16853,0.98929,0.94624,0.97891,0.71908,1.0487,0.39854,1.20598,0.008185,0.008185,0.008185
57,9120.02,1.02911,0.45281,1.16252,0.98948,0.94231,0.97447,0.71066,1.04934,0.40731,1.19509,0.008152,0.008152,0.008152
58,9244.29,1.03235,0.45476,1.16863,0.9909,0.94214,0.97768,0.71912,1.04557,0.401,1.19291,0.008119,0.008119,0.008119
59,9368.74,1.02538,0.45074,1.16176,0.98902,0.94345,0.97842,0.71764,1.04166,0.39763,1.18559,0.008086,0.008086,0.008086
60,9493.26,1.02377,0.44697,1.16542,0.98538,0.94943,0.97848,0.71923,1.04613,0.38669,1.17547,0.008053,0.008053,0.008053
61,9621.81,1.02327,0.4473,1.1575,0.9816,0.94793,0.97778,0.72153,1.04159,0.39251,1.173,0.00802,0.00802,0.00802
62,9752.06,1.02696,0.44831,1.16369,0.98766,0.94772,0.97828,0.72086,1.04352,0.3901,1.18819,0.007987,0.007987,0.007987
63,9878.07,1.0087,0.43988,1.15908,0.98399,0.95178,0.97645,0.71698,1.0393,0.38514,1.20118,0.007954,0.007954,0.007954
64,10003.7,1.01216,0.43837,1.15856,0.9877,0.95103,0.97728,0.71527,1.05228,0.38901,1.19231,0.007921,0.007921,0.007921
65,10128.1,1.02029,0.44025,1.16197,0.98538,0.95196,0.97868,0.72184,1.04022,0.38429,1.19288,0.007888,0.007888,0.007888
